[32m[I]      285 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9719 ms	Sync time: 0 ms	Done time: 281 ms	Delta Time: 0 ms	Sync AVG: nan ms	Done AVG: 281.00 ms	Sync count: 0	Boot count: 1[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.00 ms	Sync count: 1	Boot count: 2[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.33 ms	Sync count: 2	Boot count: 3[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.50 ms	Sync count: 3	Boot count: 4[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.60 ms	Sync count: 4	Boot count: 5[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.67 ms	Sync count: 5	Boot count: 6[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.71 ms	Sync count: 6	Boot count: 7[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.75 ms	Sync count: 7	Boot count: 8[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.78 ms	Sync count: 8	Boot count: 9[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.80 ms	Sync count: 9	Boot count: 10[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.82 ms	Sync count: 10	Boot count: 11[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.83 ms	Sync count: 11	Boot count: 12[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.85 ms	Sync count: 12	Boot count: 13[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.86 ms	Sync count: 13	Boot count: 14[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.87 ms	Sync count: 14	Boot count: 15[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.88 ms	Sync count: 15	Boot count: 16[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.88 ms	Sync count: 16	Boot count: 17[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.89 ms	Sync count: 17	Boot count: 18[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.89 ms	Sync count: 18	Boot count: 19[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.90 ms	Sync count: 19	Boot count: 20[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.90 ms	Sync count: 20	Boot count: 21[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.91 ms	Sync count: 21	Boot count: 22[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.91 ms	Sync count: 22	Boot count: 23[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.92 ms	Sync count: 23	Boot count: 24[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.92 ms	Sync count: 24	Boot count: 25[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.92 ms	Sync count: 25	Boot count: 26[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.93 ms	Sync count: 26	Boot count: 27[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.93 ms	Sync count: 27	Boot count: 28[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.93 ms	Sync count: 28	Boot count: 29[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.93 ms	Sync count: 29	Boot count: 30[0m
[32m[I]      286 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.94 ms	Sync count: 30	Boot count: 31[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.94 ms	Sync count: 31	Boot count: 32[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.94 ms	Sync count: 32	Boot count: 33[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.94 ms	Sync count: 33	Boot count: 34[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.94 ms	Sync count: 34	Boot count: 35[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.94 ms	Sync count: 35	Boot count: 36[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.95 ms	Sync count: 36	Boot count: 37[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.95 ms	Sync count: 37	Boot count: 38[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.95 ms	Sync count: 38	Boot count: 39[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.95 ms	Sync count: 39	Boot count: 40[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.95 ms	Sync count: 40	Boot count: 41[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.95 ms	Sync count: 41	Boot count: 42[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.95 ms	Sync count: 42	Boot count: 43[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.95 ms	Sync count: 43	Boot count: 44[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.96 ms	Sync count: 44	Boot count: 45[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.96 ms	Sync count: 45	Boot count: 46[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.96 ms	Sync count: 46	Boot count: 47[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.96 ms	Sync count: 47	Boot count: 48[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.96 ms	Sync count: 48	Boot count: 49[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.96 ms	Sync count: 49	Boot count: 50[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.96 ms	Sync count: 50	Boot count: 51[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.96 ms	Sync count: 51	Boot count: 52[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.96 ms	Sync count: 52	Boot count: 53[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.96 ms	Sync count: 53	Boot count: 54[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.96 ms	Sync count: 54	Boot count: 55[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.96 ms	Sync count: 55	Boot count: 56[0m
