[2025-05-03 13:57:23] [32m[I]    19339 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 24938 ms	Sync time: 19324 ms	Done time: 19334 ms	Delta Time: 0 ms	Sync AVG: nan ms	Done AVG: nan ms	Sync count: 0	Boot count: 0[0m
[2025-05-03 13:57:53] [32m[I]     5812 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 5796 ms	Done time: 5808 ms	Delta Time: 4495 ms	Sync AVG: 5796.00 ms	Done AVG: 5808.00 ms	Sync count: 1	Boot count: 1[0m
[2025-05-03 13:58:22] [32m[I]     8972 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 8956 ms	Done time: 8968 ms	Delta Time: 4495 ms	Sync AVG: 7376.00 ms	Done AVG: 7388.00 ms	Sync count: 2	Boot count: 2[0m
[2025-05-03 13:58:52] [32m[I]     9631 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9615 ms	Done time: 9627 ms	Delta Time: 4495 ms	Sync AVG: 8122.33 ms	Done AVG: 8134.33 ms	Sync count: 3	Boot count: 3[0m
[2025-05-03 13:59:22] [32m[I]     9632 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9616 ms	Done time: 9628 ms	Delta Time: 4495 ms	Sync AVG: 8495.75 ms	Done AVG: 8507.75 ms	Sync count: 4	Boot count: 4[0m
[2025-05-03 13:59:52] [32m[I]     9835 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9818 ms	Done time: 9830 ms	Delta Time: 4495 ms	Sync AVG: 8760.20 ms	Done AVG: 8772.20 ms	Sync count: 5	Boot count: 5[0m
[2025-05-03 14:00:21] [32m[I]     9403 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9387 ms	Done time: 9399 ms	Delta Time: 4495 ms	Sync AVG: 8864.67 ms	Done AVG: 8876.67 ms	Sync count: 6	Boot count: 6[0m
[2025-05-03 14:00:51] [32m[I]     9613 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9597 ms	Done time: 9609 ms	Delta Time: 4495 ms	Sync AVG: 8969.29 ms	Done AVG: 8981.29 ms	Sync count: 7	Boot count: 7[0m
[2025-05-03 14:01:21] [32m[I]     9595 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9580 ms	Done time: 9592 ms	Delta Time: 4495 ms	Sync AVG: 9045.62 ms	Done AVG: 9057.62 ms	Sync count: 8	Boot count: 8[0m
[2025-05-03 14:01:51] [32m[I]     9641 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9625 ms	Done time: 9637 ms	Delta Time: 4495 ms	Sync AVG: 9110.00 ms	Done AVG: 9122.00 ms	Sync count: 9	Boot count: 9[0m
[2025-05-03 14:02:21] [32m[I]     9624 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9609 ms	Done time: 9621 ms	Delta Time: 4495 ms	Sync AVG: 9159.90 ms	Done AVG: 9171.90 ms	Sync count: 10	Boot count: 10[0m
