[2025-05-03 13:57:23] [32m[I]      287 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: nan ms	Done AVG: nan ms	Sync count: 0	Boot count: 0[0m
[2025-05-03 13:57:53] [32m[I]      886 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29117 ms	Sync time: 0 ms	Done time: 883 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 883.00 ms	Sync count: 1	Boot count: 1[0m
[2025-05-03 13:58:22] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 584.00 ms	Sync count: 2	Boot count: 2[0m
[2025-05-03 13:58:52] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 484.33 ms	Sync count: 3	Boot count: 3[0m
[2025-05-03 13:59:22] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 434.50 ms	Sync count: 4	Boot count: 4[0m
[2025-05-03 13:59:52] [32m[I]      486 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29517 ms	Sync time: 0 ms	Done time: 483 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 444.20 ms	Sync count: 5	Boot count: 5[0m
[2025-05-03 14:00:21] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 417.67 ms	Sync count: 6	Boot count: 6[0m
[2025-05-03 14:00:51] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 398.71 ms	Sync count: 7	Boot count: 7[0m
[2025-05-03 14:01:21] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 384.50 ms	Sync count: 8	Boot count: 8[0m
[2025-05-03 14:01:51] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 373.44 ms	Sync count: 9	Boot count: 9[0m
[2025-05-03 14:02:21] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 364.60 ms	Sync count: 10	Boot count: 10[0m
