[2025-05-02 20:53:10] [32m[I]    37122 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 24937 ms	Sync time: 37106 ms	Done time: 37117 ms	Delta Time: 0 ms	Sync AVG: nan ms	Done AVG: nan ms	Sync count: 0	Boot count: 0[0m
[2025-05-02 20:53:40] [32m[I]     5199 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 5183 ms	Done time: 5195 ms	Delta Time: 4495 ms	Sync AVG: 5183.00 ms	Done AVG: 5195.00 ms	Sync count: 1	Boot count: 1[0m
[2025-05-02 20:54:09] [32m[I]     9603 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9586 ms	Done time: 9598 ms	Delta Time: 4495 ms	Sync AVG: 7384.50 ms	Done AVG: 7396.50 ms	Sync count: 2	Boot count: 2[0m
[2025-05-02 20:54:39] [32m[I]     9587 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9571 ms	Done time: 9583 ms	Delta Time: 4495 ms	Sync AVG: 8113.33 ms	Done AVG: 8125.33 ms	Sync count: 3	Boot count: 3[0m
[2025-05-02 20:55:09] [32m[I]     9638 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9622 ms	Done time: 9634 ms	Delta Time: 4495 ms	Sync AVG: 8490.50 ms	Done AVG: 8502.50 ms	Sync count: 4	Boot count: 4[0m
[2025-05-02 20:55:39] [32m[I]     9628 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9612 ms	Done time: 9624 ms	Delta Time: 4495 ms	Sync AVG: 8714.80 ms	Done AVG: 8726.80 ms	Sync count: 5	Boot count: 5[0m
[2025-05-02 20:56:09] [32m[I]     9628 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20439 ms	Sync time: 9610 ms	Done time: 9624 ms	Delta Time: 4495 ms	Sync AVG: 8864.00 ms	Done AVG: 8876.33 ms	Sync count: 6	Boot count: 6[0m
[2025-05-02 20:56:38] [32m[I]     9608 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20440 ms	Sync time: 9591 ms	Done time: 9604 ms	Delta Time: 4495 ms	Sync AVG: 8967.86 ms	Done AVG: 8980.29 ms	Sync count: 7	Boot count: 7[0m
[2025-05-02 20:57:08] [32m[I]     9643 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20440 ms	Sync time: 9626 ms	Done time: 9639 ms	Delta Time: 4495 ms	Sync AVG: 9050.12 ms	Done AVG: 9062.62 ms	Sync count: 8	Boot count: 8[0m
[2025-05-02 20:57:38] [32m[I]     9641 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9625 ms	Done time: 9637 ms	Delta Time: 4495 ms	Sync AVG: 9114.00 ms	Done AVG: 9126.44 ms	Sync count: 9	Boot count: 9[0m
[2025-05-02 20:58:08] [32m[I]     9638 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9622 ms	Done time: 9634 ms	Delta Time: 4495 ms	Sync AVG: 9164.80 ms	Done AVG: 9177.20 ms	Sync count: 10	Boot count: 10[0m
[2025-05-02 20:58:38] [32m[I]     9611 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9595 ms	Done time: 9607 ms	Delta Time: 4495 ms	Sync AVG: 9203.91 ms	Done AVG: 9216.27 ms	Sync count: 11	Boot count: 11[0m
[2025-05-02 20:59:08] [32m[I]     9629 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20439 ms	Sync time: 9610 ms	Done time: 9624 ms	Delta Time: 4495 ms	Sync AVG: 9237.75 ms	Done AVG: 9250.25 ms	Sync count: 12	Boot count: 12[0m
[2025-05-02 20:59:38] [32m[I]     9635 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9618 ms	Done time: 9630 ms	Delta Time: 4495 ms	Sync AVG: 9267.00 ms	Done AVG: 9279.46 ms	Sync count: 13	Boot count: 13[0m
[2025-05-02 21:00:07] [32m[I]     9631 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9615 ms	Done time: 9627 ms	Delta Time: 4495 ms	Sync AVG: 9291.86 ms	Done AVG: 9304.29 ms	Sync count: 14	Boot count: 14[0m
[2025-05-02 21:00:37] [32m[I]     9593 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9576 ms	Done time: 9588 ms	Delta Time: 4495 ms	Sync AVG: 9310.80 ms	Done AVG: 9323.20 ms	Sync count: 15	Boot count: 15[0m
[2025-05-02 21:01:07] [32m[I]     9625 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9608 ms	Done time: 9620 ms	Delta Time: 4495 ms	Sync AVG: 9329.38 ms	Done AVG: 9341.75 ms	Sync count: 16	Boot count: 16[0m
[2025-05-02 21:01:37] [32m[I]     9616 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20439 ms	Sync time: 9598 ms	Done time: 9612 ms	Delta Time: 4495 ms	Sync AVG: 9345.18 ms	Done AVG: 9357.65 ms	Sync count: 17	Boot count: 17[0m
[2025-05-02 21:02:07] [32m[I]     9616 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9600 ms	Done time: 9612 ms	Delta Time: 4495 ms	Sync AVG: 9359.33 ms	Done AVG: 9371.78 ms	Sync count: 18	Boot count: 18[0m
[2025-05-02 21:02:37] [32m[I]     9631 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9614 ms	Done time: 9626 ms	Delta Time: 4495 ms	Sync AVG: 9372.74 ms	Done AVG: 9385.16 ms	Sync count: 19	Boot count: 19[0m
[2025-05-02 21:03:07] [32m[I]     9620 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9604 ms	Done time: 9616 ms	Delta Time: 4495 ms	Sync AVG: 9384.30 ms	Done AVG: 9396.70 ms	Sync count: 20	Boot count: 20[0m
[2025-05-02 21:03:37] [32m[I]     9652 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9636 ms	Done time: 9648 ms	Delta Time: 4495 ms	Sync AVG: 9396.29 ms	Done AVG: 9408.67 ms	Sync count: 21	Boot count: 21[0m
[2025-05-02 21:04:06] [32m[I]     9597 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9581 ms	Done time: 9593 ms	Delta Time: 4495 ms	Sync AVG: 9404.68 ms	Done AVG: 9417.05 ms	Sync count: 22	Boot count: 22[0m
[2025-05-02 21:04:36] [32m[I]     9595 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9579 ms	Done time: 9591 ms	Delta Time: 4495 ms	Sync AVG: 9412.26 ms	Done AVG: 9424.61 ms	Sync count: 23	Boot count: 23[0m
[2025-05-02 21:05:06] [32m[I]     9624 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9608 ms	Done time: 9620 ms	Delta Time: 4495 ms	Sync AVG: 9420.42 ms	Done AVG: 9432.75 ms	Sync count: 24	Boot count: 24[0m
[2025-05-02 21:05:36] [32m[I]     9623 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9607 ms	Done time: 9619 ms	Delta Time: 4495 ms	Sync AVG: 9427.88 ms	Done AVG: 9440.20 ms	Sync count: 25	Boot count: 25[0m
[2025-05-02 21:06:06] [32m[I]     9649 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9632 ms	Done time: 9644 ms	Delta Time: 4495 ms	Sync AVG: 9435.73 ms	Done AVG: 9448.04 ms	Sync count: 26	Boot count: 26[0m
[2025-05-02 21:06:35] [32m[I]     9638 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9622 ms	Done time: 9634 ms	Delta Time: 4495 ms	Sync AVG: 9442.63 ms	Done AVG: 9454.93 ms	Sync count: 27	Boot count: 27[0m
[2025-05-02 21:07:05] [32m[I]     9629 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9613 ms	Done time: 9625 ms	Delta Time: 4495 ms	Sync AVG: 9448.71 ms	Done AVG: 9461.00 ms	Sync count: 28	Boot count: 28[0m
[2025-05-02 21:07:35] [32m[I]     9624 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9608 ms	Done time: 9620 ms	Delta Time: 4495 ms	Sync AVG: 9454.21 ms	Done AVG: 9466.48 ms	Sync count: 29	Boot count: 29[0m
[2025-05-02 21:08:05] [32m[I]     9624 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9608 ms	Done time: 9620 ms	Delta Time: 4495 ms	Sync AVG: 9459.33 ms	Done AVG: 9471.60 ms	Sync count: 30	Boot count: 30[0m
[2025-05-02 21:08:35] [32m[I]     9655 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9639 ms	Done time: 9651 ms	Delta Time: 4495 ms	Sync AVG: 9465.13 ms	Done AVG: 9477.39 ms	Sync count: 31	Boot count: 31[0m
[2025-05-02 21:09:05] [32m[I]     9641 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9625 ms	Done time: 9637 ms	Delta Time: 4495 ms	Sync AVG: 9470.12 ms	Done AVG: 9482.38 ms	Sync count: 32	Boot count: 32[0m
[2025-05-02 21:09:35] [32m[I]     9660 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9644 ms	Done time: 9656 ms	Delta Time: 4495 ms	Sync AVG: 9475.39 ms	Done AVG: 9487.64 ms	Sync count: 33	Boot count: 33[0m
[2025-05-02 21:10:04] [32m[I]     9612 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9596 ms	Done time: 9608 ms	Delta Time: 4495 ms	Sync AVG: 9478.94 ms	Done AVG: 9491.18 ms	Sync count: 34	Boot count: 34[0m
[2025-05-02 21:10:34] [32m[I]     9621 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9604 ms	Done time: 9616 ms	Delta Time: 4495 ms	Sync AVG: 9482.51 ms	Done AVG: 9494.74 ms	Sync count: 35	Boot count: 35[0m
[2025-05-02 21:11:04] [32m[I]     9638 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9622 ms	Done time: 9634 ms	Delta Time: 4495 ms	Sync AVG: 9486.39 ms	Done AVG: 9498.61 ms	Sync count: 36	Boot count: 36[0m
[2025-05-02 21:11:34] [32m[I]     9637 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9621 ms	Done time: 9633 ms	Delta Time: 4495 ms	Sync AVG: 9490.03 ms	Done AVG: 9502.24 ms	Sync count: 37	Boot count: 37[0m
[2025-05-02 21:12:04] [32m[I]     9614 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20440 ms	Sync time: 9596 ms	Done time: 9609 ms	Delta Time: 4495 ms	Sync AVG: 9492.82 ms	Done AVG: 9505.05 ms	Sync count: 38	Boot count: 38[0m
[2025-05-02 21:12:33] [32m[I]     9643 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9626 ms	Done time: 9638 ms	Delta Time: 4495 ms	Sync AVG: 9496.23 ms	Done AVG: 9508.46 ms	Sync count: 39	Boot count: 39[0m
[2025-05-02 21:13:03] [32m[I]     9627 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9611 ms	Done time: 9623 ms	Delta Time: 4495 ms	Sync AVG: 9499.10 ms	Done AVG: 9511.33 ms	Sync count: 40	Boot count: 40[0m
[2025-05-02 21:13:33] [32m[I]     9635 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9619 ms	Done time: 9631 ms	Delta Time: 4495 ms	Sync AVG: 9502.02 ms	Done AVG: 9514.24 ms	Sync count: 41	Boot count: 41[0m
[2025-05-02 21:14:03] [32m[I]     9623 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9607 ms	Done time: 9619 ms	Delta Time: 4495 ms	Sync AVG: 9504.52 ms	Done AVG: 9516.74 ms	Sync count: 42	Boot count: 42[0m
[2025-05-02 21:14:33] [32m[I]     9608 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9592 ms	Done time: 9604 ms	Delta Time: 4495 ms	Sync AVG: 9506.56 ms	Done AVG: 9518.77 ms	Sync count: 43	Boot count: 43[0m
[2025-05-02 21:15:03] [32m[I]     9645 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9629 ms	Done time: 9641 ms	Delta Time: 4495 ms	Sync AVG: 9509.34 ms	Done AVG: 9521.55 ms	Sync count: 44	Boot count: 44[0m
[2025-05-02 21:15:32] [32m[I]     9642 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9626 ms	Done time: 9638 ms	Delta Time: 4495 ms	Sync AVG: 9511.93 ms	Done AVG: 9524.13 ms	Sync count: 45	Boot count: 45[0m
[2025-05-02 21:16:02] [32m[I]     9637 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9621 ms	Done time: 9633 ms	Delta Time: 4495 ms	Sync AVG: 9514.30 ms	Done AVG: 9526.50 ms	Sync count: 46	Boot count: 46[0m
[2025-05-02 21:16:32] [32m[I]     9634 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9618 ms	Done time: 9630 ms	Delta Time: 4495 ms	Sync AVG: 9516.51 ms	Done AVG: 9528.70 ms	Sync count: 47	Boot count: 47[0m
[2025-05-02 21:17:02] [32m[I]     9611 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9595 ms	Done time: 9607 ms	Delta Time: 4495 ms	Sync AVG: 9518.15 ms	Done AVG: 9530.33 ms	Sync count: 48	Boot count: 48[0m
[2025-05-02 21:17:32] [32m[I]     9628 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9612 ms	Done time: 9624 ms	Delta Time: 4495 ms	Sync AVG: 9520.06 ms	Done AVG: 9532.25 ms	Sync count: 49	Boot count: 49[0m
[2025-05-02 21:18:02] [32m[I]     9621 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9605 ms	Done time: 9617 ms	Delta Time: 4495 ms	Sync AVG: 9521.76 ms	Done AVG: 9533.94 ms	Sync count: 50	Boot count: 50[0m
[2025-05-02 21:18:31] [32m[I]     9612 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9596 ms	Done time: 9608 ms	Delta Time: 4495 ms	Sync AVG: 9523.22 ms	Done AVG: 9535.39 ms	Sync count: 51	Boot count: 51[0m
[2025-05-02 21:19:01] [32m[I]     9637 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9621 ms	Done time: 9633 ms	Delta Time: 4495 ms	Sync AVG: 9525.10 ms	Done AVG: 9537.27 ms	Sync count: 52	Boot count: 52[0m
[2025-05-02 21:19:31] [32m[I]     9629 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20440 ms	Sync time: 9612 ms	Done time: 9625 ms	Delta Time: 4495 ms	Sync AVG: 9526.74 ms	Done AVG: 9538.92 ms	Sync count: 53	Boot count: 53[0m
[2025-05-02 21:20:01] [32m[I]     9614 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9597 ms	Done time: 9609 ms	Delta Time: 4495 ms	Sync AVG: 9528.04 ms	Done AVG: 9540.22 ms	Sync count: 54	Boot count: 54[0m
[2025-05-02 21:20:31] [32m[I]     9649 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20440 ms	Sync time: 9632 ms	Done time: 9645 ms	Delta Time: 4495 ms	Sync AVG: 9529.93 ms	Done AVG: 9542.13 ms	Sync count: 55	Boot count: 55[0m
[2025-05-02 21:21:01] [32m[I]     9612 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9596 ms	Done time: 9608 ms	Delta Time: 4495 ms	Sync AVG: 9531.11 ms	Done AVG: 9543.30 ms	Sync count: 56	Boot count: 56[0m
[2025-05-02 21:21:30] [32m[I]     9624 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20439 ms	Sync time: 9606 ms	Done time: 9620 ms	Delta Time: 4495 ms	Sync AVG: 9532.42 ms	Done AVG: 9544.65 ms	Sync count: 57	Boot count: 57[0m
[2025-05-02 21:22:00] [32m[I]     9640 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9624 ms	Done time: 9636 ms	Delta Time: 4495 ms	Sync AVG: 9534.00 ms	Done AVG: 9546.22 ms	Sync count: 58	Boot count: 58[0m
[2025-05-02 21:22:30] [32m[I]     9630 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9614 ms	Done time: 9626 ms	Delta Time: 4495 ms	Sync AVG: 9535.36 ms	Done AVG: 9547.58 ms	Sync count: 59	Boot count: 59[0m
[2025-05-02 21:23:00] [32m[I]     9637 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9621 ms	Done time: 9633 ms	Delta Time: 4495 ms	Sync AVG: 9536.78 ms	Done AVG: 9549.00 ms	Sync count: 60	Boot count: 60[0m
[2025-05-02 21:23:30] [32m[I]     9609 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9592 ms	Done time: 9604 ms	Delta Time: 4495 ms	Sync AVG: 9537.69 ms	Done AVG: 9549.90 ms	Sync count: 61	Boot count: 61[0m
[2025-05-02 21:24:00] [32m[I]     9610 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9594 ms	Done time: 9606 ms	Delta Time: 4495 ms	Sync AVG: 9538.60 ms	Done AVG: 9550.81 ms	Sync count: 62	Boot count: 62[0m
[2025-05-02 21:24:29] [32m[I]     9639 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9623 ms	Done time: 9635 ms	Delta Time: 4495 ms	Sync AVG: 9539.94 ms	Done AVG: 9552.14 ms	Sync count: 63	Boot count: 63[0m
[2025-05-02 21:24:59] [32m[I]     9642 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9625 ms	Done time: 9637 ms	Delta Time: 4495 ms	Sync AVG: 9541.27 ms	Done AVG: 9553.47 ms	Sync count: 64	Boot count: 64[0m
[2025-05-02 21:25:29] [32m[I]     9606 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9590 ms	Done time: 9602 ms	Delta Time: 4495 ms	Sync AVG: 9542.02 ms	Done AVG: 9554.22 ms	Sync count: 65	Boot count: 65[0m
[2025-05-02 21:25:59] [32m[I]     9627 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9611 ms	Done time: 9623 ms	Delta Time: 4495 ms	Sync AVG: 9543.06 ms	Done AVG: 9555.26 ms	Sync count: 66	Boot count: 66[0m
[2025-05-02 21:26:29] [32m[I]     9614 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9598 ms	Done time: 9610 ms	Delta Time: 4495 ms	Sync AVG: 9543.88 ms	Done AVG: 9556.07 ms	Sync count: 67	Boot count: 67[0m
[2025-05-02 21:26:59] [32m[I]     9637 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9621 ms	Done time: 9633 ms	Delta Time: 4495 ms	Sync AVG: 9545.01 ms	Done AVG: 9557.21 ms	Sync count: 68	Boot count: 68[0m
[2025-05-02 21:27:28] [32m[I]     9646 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20440 ms	Sync time: 9628 ms	Done time: 9641 ms	Delta Time: 4495 ms	Sync AVG: 9546.22 ms	Done AVG: 9558.42 ms	Sync count: 69	Boot count: 69[0m
[2025-05-02 21:27:58] [32m[I]     9632 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9615 ms	Done time: 9627 ms	Delta Time: 4495 ms	Sync AVG: 9547.20 ms	Done AVG: 9559.40 ms	Sync count: 70	Boot count: 70[0m
[2025-05-02 21:28:28] [32m[I]     9654 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9638 ms	Done time: 9650 ms	Delta Time: 4495 ms	Sync AVG: 9548.48 ms	Done AVG: 9560.68 ms	Sync count: 71	Boot count: 71[0m
[2025-05-02 21:28:58] [32m[I]     9642 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9626 ms	Done time: 9638 ms	Delta Time: 4495 ms	Sync AVG: 9549.56 ms	Done AVG: 9561.75 ms	Sync count: 72	Boot count: 72[0m
[2025-05-02 21:29:28] [32m[I]     9652 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9636 ms	Done time: 9648 ms	Delta Time: 4495 ms	Sync AVG: 9550.74 ms	Done AVG: 9562.93 ms	Sync count: 73	Boot count: 73[0m
[2025-05-02 21:29:58] [32m[I]     9652 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9635 ms	Done time: 9647 ms	Delta Time: 4495 ms	Sync AVG: 9551.88 ms	Done AVG: 9564.07 ms	Sync count: 74	Boot count: 74[0m
[2025-05-02 21:30:27] [32m[I]     9623 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9607 ms	Done time: 9619 ms	Delta Time: 4495 ms	Sync AVG: 9552.61 ms	Done AVG: 9564.80 ms	Sync count: 75	Boot count: 75[0m
