[2025-05-21 13:59:22.230882] xxxxxxets Jul 29 2019 12:21:46
[2025-05-21 13:59:22.231058] 
[2025-05-21 13:59:22.236685] rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
[2025-05-21 13:59:22.239143] configsip: 0, SPIWP:0xee
[2025-05-21 13:59:22.244687] clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
[2025-05-21 13:59:22.247442] mode:DIO, clock div:2
[2025-05-21 13:59:22.250324] load:0x3fff0030,len:1184
[2025-05-21 13:59:22.253605] load:0x40078000,len:13232
[2025-05-21 13:59:22.253784] load:0x40080400,len:3028
[2025-05-21 13:59:22.256432] entry 0x400805e4
[2025-05-21 13:59:22.446354] [     7][D][esp32-hal-cpu.c:244] setCpuFrequencyMhz(): PLL: 480 / 2 = 240 Mhz, APB: 80000000 Hz
[2025-05-21 13:59:22.457212] [I]       19 transport.cpp       :  54 | [TRANSPORT] Initializing...
[2025-05-21 13:59:22.506918] [I]       73 lora.cpp            :  32 | [LORA] Init
[2025-05-21 13:59:22.515031] [I]       73 scheduler.cpp       :  77 | [SCHED] Cleanup started
[2025-05-21 13:59:22.527180] [I]       90 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 13:59:22.532736] [I]       91 loraraw.cpp         :  46 | [LR] Init
[2025-05-21 13:59:22.538317] [I]      101 mac.cpp             : 103 | [MAC] Init
[2025-05-21 13:59:22.546717] [I]      103 routing_table.cpp   :  49 | [RTABLE] Routing table initialized. (6 B, 3 routes) Heap: 328348
[2025-05-21 13:59:22.552347] [I]      113 routing.cpp         :  64 | [ROUTING] Initialized
[2025-05-21 13:59:22.560531] [I]      113 transport.cpp       :  74 | [TRANSPORT] Initialized
[2025-05-21 13:59:22.566064] [W]      124 routing_table.cpp   :  84 | [RTABLE] Route for 0x09 already exists
[2025-05-21 13:59:22.574753] [I]      134 transport.cpp       : 168 | [TRANSPORT] Registered event(s) for port 1
[2025-05-21 13:59:22.582746] [I]      145 transport.cpp       :  93 | [TRANSPORT] Preparing to send
