[2025-05-21 11:10:30.596377] ets Jul 29 2019 12:21:46
[2025-05-21 11:10:30.596515] 
[2025-05-21 11:10:30.601262] rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
[2025-05-21 11:10:30.604203] configsip: 0, SPIWP:0xee
[2025-05-21 11:10:30.610282] clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
[2025-05-21 11:10:30.612145] mode:DIO, clock div:2
[2025-05-21 11:10:30.614202] load:0x3fff0030,len:1184
[2025-05-21 11:10:30.617221] load:0x40078000,len:13232
[2025-05-21 11:10:30.619279] load:0x40080400,len:3028
[2025-05-21 11:10:30.620226] entry 0x400805e4
[2025-05-21 11:10:30.830238] [    27][D][esp32-hal-cpu.c:244] setCpuFrequencyMhz(): PLL: 480 / 2 = 240 Mhz, APB: 80000000 Hz
[2025-05-21 11:10:30.846216] [I]       38 transport.cpp       :  54 | [TRANSPORT] Initializing...
[2025-05-21 11:10:30.891332] [I]       91 lora.cpp            :  32 | [LORA] Init
[2025-05-21 11:10:30.897171] [I]       91 scheduler.cpp       :  77 | [SCHED] Cleanup started
[2025-05-21 11:10:30.909283] [I]      108 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:10:30.914309] [I]      108 loraraw.cpp         :  46 | [LR] Init
[2025-05-21 11:10:30.920224] [I]      119 mac.cpp             : 103 | [MAC] Init
[2025-05-21 11:10:30.930181] [I]      121 routing_table.cpp   :  49 | [RTABLE] Routing table initialized. (4 B, 2 routes) Heap: 328396
[2025-05-21 11:10:30.936239] [I]      131 routing.cpp         :  64 | [ROUTING] Initialized
[2025-05-21 11:10:30.942147] [I]      131 transport.cpp       :  74 | [TRANSPORT] Initialized
[2025-05-21 11:10:30.950287] [W]      142 routing_table.cpp   :  84 | [RTABLE] Route for 0x09 already exists
[2025-05-21 11:10:30.958154] [I]      152 transport.cpp       : 168 | [TRANSPORT] Registered event(s) for port 1
[2025-05-21 11:10:30.965193] [I]      163 transport.cpp       :  93 | [TRANSPORT] Preparing to send
